id,organizer_id,name,date,city,country,genre,format,link,description,address,reg_start,reg_end
0e9abf3b-3080-4ece-aa0e-b31acfdb392e,6aced4e4-e276-405d-8dbb-8f1f23b1d249,Urban Essentials,3/11/2024,Nafada,Nigeria,"[""Popping"",""Breaking"",""Locking"",""Crump""]","[""1 vs 1""]",http://mayoclinic.com/venenatis/tristique/fusce/congue/diam.html?in=at&sapien=velit&iaculis=vivamus&congue=vel&vivamus=nulla&metus=eget&arcu=eros&adipiscing=elementum&molestie=pellentesque&hendrerit=quisque&at=porta&vulputate=volutpat&vitae=erat&nisl=quisque&aenean=erat&lectus=eros&pellentesque=viverra&eget=eget&nunc=congue&donec=eget&quis=semper&orci=rutrum&eget=nulla&orci=nunc&vehicula=purus&condimentum=phasellus&curabitur=in&in=felis&libero=donec&ut=semper&massa=sapien&volutpat=a&convallis=libero&morbi=nam&odio=dui&odio=proin&elementum=leo&eu=odio&interdum=porttitor&eu=id&tincidunt=consequat&in=in&leo=consequat&maecenas=ut&pulvinar=nulla&lobortis=sed&est=accumsan&phasellus=felis&sit=ut&amet=at&erat=dolor&nulla=quis&tempus=odio&vivamus=consequat&in=varius&felis=integer&eu=ac&sapien=leo&cursus=pellentesque&vestibulum=ultrices&proin=mattis&eu=odio&mi=donec&nulla=vitae&ac=nisi&enim=nam&in=ultrices&tempor=libero,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,4 Saint Paul Terrace,11/28/2023,3/3/2024
48b2428c-6a4e-4704-b67b-6591728c6fe5,70e999ca-72d5-471f-8ede-6118bae2f0bc,Libero Dance Fest - Winter Edition - Vol. 6,3/6/2024,Shyroke,Ukraine,"[""Locking"",""Breaking"",""Wacking""]","[""Crew Battle""]",https://abc.net.au/odio/elementum/eu/interdum/eu/tincidunt/in.jsp?felis=placerat&sed=praesent&lacus=blandit&morbi=nam&sem=nulla&mauris=integer&laoreet=pede&ut=justo&rhoncus=lacinia&aliquet=eget&pulvinar=tincidunt&sed=eget&nisl=tempus&nunc=vel&rhoncus=pede&dui=morbi&vel=porttitor&sem=lorem&sed=id&sagittis=ligula&nam=suspendisse&congue=ornare&risus=consequat&semper=lectus&porta=in&volutpat=est&quam=risus&pede=auctor&lobortis=sed&ligula=tristique&sit=in&amet=tempus&eleifend=sit&pede=amet&libero=sem&quis=fusce&orci=consequat&nullam=nulla&molestie=nisl&nibh=nunc&in=nisl&lectus=duis&pellentesque=bibendum&at=felis&nulla=sed&suspendisse=interdum&potenti=venenatis&cras=turpis&in=enim&purus=blandit&eu=mi&magna=in&vulputate=porttitor&luctus=pede,Nulla mollis molestie lorem.,4 Donald Hill,4/5/2023,2/16/2024
582d889a-aa38-42a8-a189-c4dcf50fc201,6c2a1443-cf0a-405c-9083-35157b1881cf,Ghetto Breakin' 2023,5/6/2024,Loanda,Brazil,"[""Popping""]","[""2 vs 2"",""3 vs 3"",""Crew Battle""]",https://goo.gl/lectus.jsp?potenti=suscipit&nullam=a&porttitor=feugiat&lacus=et&at=eros&turpis=vestibulum&donec=ac&posuere=est&metus=lacinia&vitae=nisi&ipsum=venenatis&aliquam=tristique&non=fusce&mauris=congue&morbi=diam&non=id&lectus=ornare&aliquam=imperdiet&sit=sapien&amet=urna&diam=pretium&in=nisl&magna=ut&bibendum=volutpat&imperdiet=sapien&nullam=arcu&orci=sed&pede=augue&venenatis=aliquam&non=erat&sodales=volutpat&sed=in&tincidunt=congue&eu=etiam&felis=justo&fusce=etiam&posuere=pretium&felis=iaculis&sed=justo&lacus=in&morbi=hac&sem=habitasse&mauris=platea&laoreet=dictumst&ut=etiam&rhoncus=faucibus&aliquet=cursus&pulvinar=urna&sed=ut&nisl=tellus&nunc=nulla&rhoncus=ut&dui=erat&vel=id&sem=mauris&sed=vulputate&sagittis=elementum&nam=nullam&congue=varius&risus=nulla&semper=facilisi&porta=cras&volutpat=non&quam=velit&pede=nec,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,0757 Linden Alley,9/9/2023,8/20/2023
bbc1ec39-4325-46c0-90b1-66d362153a03,9d7379a7-5801-4380-9cb9-6a176c94ae52,Breaking Battle Tbilisi 2023,4/26/2024,Hikone,Japan,"[""Wacking"",""Crump"",""Popping"",""Locking""]","[""3 vs 3"",""1 vs 1"",""2 vs 2""]",http://weebly.com/vel/sem.aspx?felis=pretium&sed=iaculis&interdum=diam&venenatis=erat&turpis=fermentum&enim=justo&blandit=nec&mi=condimentum&in=neque&porttitor=sapien&pede=placerat&justo=ante&eu=nulla&massa=justo&donec=aliquam&dapibus=quis&duis=turpis&at=eget&velit=elit&eu=sodales&est=scelerisque&congue=mauris&elementum=sit&in=amet&hac=eros&habitasse=suspendisse&platea=accumsan&dictumst=tortor&morbi=quis&vestibulum=turpis&velit=sed&id=ante&pretium=vivamus&iaculis=tortor&diam=duis&erat=mattis&fermentum=egestas&justo=metus&nec=aenean&condimentum=fermentum&neque=donec&sapien=ut&placerat=mauris&ante=eget&nulla=massa&justo=tempor&aliquam=convallis&quis=nulla&turpis=neque&eget=libero&elit=convallis&sodales=eget&scelerisque=eleifend&mauris=luctus&sit=ultricies&amet=eu&eros=nibh&suspendisse=quisque&accumsan=id&tortor=justo&quis=sit&turpis=amet&sed=sapien&ante=dignissim&vivamus=vestibulum&tortor=vestibulum&duis=ante&mattis=ipsum&egestas=primis&metus=in&aenean=faucibus&fermentum=orci&donec=luctus&ut=et&mauris=ultrices&eget=posuere,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",481 Bobwhite Drive,5/26/2023,4/1/2023
2a77d970-e2f5-46a8-9162-979f179be4d4,d30e0219-8111-4293-a7fa-71e84708ac10,Honorable,3/31/2024,Zgornje Pirniče,Slovenia,"[""Crump"",""Wacking"",""Locking"",""Breaking""]","[""3 vs 3""]",http://twitpic.com/scelerisque/quam/turpis/adipiscing.html?leo=ut&maecenas=rhoncus&pulvinar=aliquet&lobortis=pulvinar&est=sed&phasellus=nisl&sit=nunc&amet=rhoncus&erat=dui&nulla=vel&tempus=sem&vivamus=sed&in=sagittis&felis=nam&eu=congue&sapien=risus&cursus=semper&vestibulum=porta&proin=volutpat&eu=quam&mi=pede&nulla=lobortis&ac=ligula&enim=sit&in=amet&tempor=eleifend&turpis=pede&nec=libero&euismod=quis&scelerisque=orci&quam=nullam,Suspendisse potenti.,423 Banding Center,11/30/2022,7/7/2024
d7f1421f-c537-47dd-a449-c7edb667893c,458b28c7-e8c1-457c-8086-9906d7ba8723,Gang Shit Sai Gon,1/15/2024,Marteleira,Portugal,"[""Wacking"",""Popping"",""Crump""]","[""2 vs 2"",""1 vs 1""]",http://google.it/bibendum/imperdiet/nullam/orci.html?rutrum=justo&neque=morbi&aenean=ut&auctor=odio&gravida=cras&sem=mi&praesent=pede&id=malesuada&massa=in&id=imperdiet&nisl=et&venenatis=commodo&lacinia=vulputate&aenean=justo&sit=in&amet=blandit&justo=ultrices&morbi=enim&ut=lorem&odio=ipsum&cras=dolor&mi=sit&pede=amet&malesuada=consectetuer&in=adipiscing&imperdiet=elit&et=proin&commodo=interdum&vulputate=mauris,Phasellus id sapien in sapien iaculis congue.,88221 Armistice Trail,7/1/2023,4/28/2023
d79a1d2f-cc46-4e2a-a02f-ab6bd71902ac,90b1f626-3800-4849-b427-cb2c995903fe,Street Groove Jam 2023,12/29/2023,Badulla,Sri Lanka,"[""Wacking"",""Crump"",""Popping"",""Breaking""]","[""Crew Battle""]",https://usa.gov/maecenas/tristique/est/et/tempus/semper.js?orci=dapibus&mauris=augue&lacinia=vel&sapien=accumsan&quis=tellus&libero=nisi&nullam=eu&sit=orci&amet=mauris&turpis=lacinia&elementum=sapien&ligula=quis&vehicula=libero&consequat=nullam&morbi=sit&a=amet&ipsum=turpis&integer=elementum&a=ligula&nibh=vehicula&in=consequat&quis=morbi&justo=a&maecenas=ipsum&rhoncus=integer&aliquam=a&lacus=nibh&morbi=in&quis=quis&tortor=justo&id=maecenas&nulla=rhoncus&ultrices=aliquam&aliquet=lacus&maecenas=morbi&leo=quis&odio=tortor&condimentum=id&id=nulla&luctus=ultrices&nec=aliquet&molestie=maecenas&sed=leo&justo=odio&pellentesque=condimentum&viverra=id&pede=luctus&ac=nec&diam=molestie&cras=sed&pellentesque=justo&volutpat=pellentesque&dui=viverra&maecenas=pede&tristique=ac&est=diam&et=cras&tempus=pellentesque&semper=volutpat&est=dui&quam=maecenas&pharetra=tristique&magna=est&ac=et&consequat=tempus&metus=semper&sapien=est&ut=quam&nunc=pharetra&vestibulum=magna&ante=ac&ipsum=consequat&primis=metus,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",17 Graceland Place,7/17/2023,12/9/2023
a19f9b8e-1605-4f0e-b109-7bae643523f6,44eceb7d-a1e6-4c70-9a39-0d9bf4b78b12,Bboy France Qualification Grand Est,5/19/2024,Ugljevik,Bosnia and Herzegovina,"[""Breaking"",""Wacking"",""Locking"",""Crump"",""Popping""]","[""3 vs 3"",""1 vs 1""]",http://hatena.ne.jp/etiam/pretium/iaculis.jpg?imperdiet=massa&et=tempor&commodo=convallis&vulputate=nulla&justo=neque&in=libero&blandit=convallis&ultrices=eget&enim=eleifend&lorem=luctus&ipsum=ultricies&dolor=eu&sit=nibh&amet=quisque&consectetuer=id&adipiscing=justo&elit=sit&proin=amet&interdum=sapien&mauris=dignissim&non=vestibulum&ligula=vestibulum&pellentesque=ante&ultrices=ipsum&phasellus=primis&id=in&sapien=faucibus&in=orci&sapien=luctus&iaculis=et&congue=ultrices&vivamus=posuere&metus=cubilia&arcu=curae&adipiscing=nulla&molestie=dapibus&hendrerit=dolor&at=vel&vulputate=est&vitae=donec&nisl=odio&aenean=justo&lectus=sollicitudin&pellentesque=ut&eget=suscipit&nunc=a&donec=feugiat&quis=et&orci=eros&eget=vestibulum&orci=ac&vehicula=est&condimentum=lacinia&curabitur=nisi&in=venenatis&libero=tristique&ut=fusce&massa=congue,Duis aliquam convallis nunc.,30452 4th Point,11/30/2022,11/19/2023
f8a84284-fd42-4296-98ce-a63c9920c094,9ed35e5d-114a-41f8-92b6-81136c225970,Northern Vibes 2023,4/29/2024,Okayama-shi,Japan,"[""Wacking""]","[""3 vs 3"",""1 vs 1"",""Crew Battle""]",http://addthis.com/luctus/tincidunt/nulla/mollis.json?sit=lorem&amet=ipsum&lobortis=dolor&sapien=sit&sapien=amet&non=consectetuer&mi=adipiscing&integer=elit&ac=proin&neque=risus&duis=praesent&bibendum=lectus&morbi=vestibulum&non=quam&quam=sapien&nec=varius&dui=ut&luctus=blandit&rutrum=non&nulla=interdum&tellus=in&in=ante&sagittis=vestibulum&dui=ante&vel=ipsum&nisl=primis&duis=in&ac=faucibus&nibh=orci&fusce=luctus&lacus=et&purus=ultrices&aliquet=posuere&at=cubilia&feugiat=curae,Praesent blandit lacinia erat.,7 Fairview Parkway,11/7/2023,12/12/2023
050ce895-3ed2-4839-84ba-a16a54845f0c,fda70829-c177-4c31-b94b-69ec7ed74f92,Hipfest 2023 World Final,12/11/2023,Ecilda Paullier,Uruguay,"[""Popping"",""Crump"",""Breaking""]","[""1 vs 1""]",https://microsoft.com/morbi/porttitor/lorem/id.png?at=ipsum&lorem=dolor&integer=sit&tincidunt=amet&ante=consectetuer&vel=adipiscing&ipsum=elit&praesent=proin&blandit=risus&lacinia=praesent&erat=lectus&vestibulum=vestibulum&sed=quam&magna=sapien&at=varius&nunc=ut&commodo=blandit&placerat=non&praesent=interdum&blandit=in&nam=ante&nulla=vestibulum&integer=ante&pede=ipsum&justo=primis&lacinia=in&eget=faucibus&tincidunt=orci&eget=luctus&tempus=et&vel=ultrices&pede=posuere&morbi=cubilia&porttitor=curae&lorem=duis&id=faucibus&ligula=accumsan,Donec posuere metus vitae ipsum. Aliquam non mauris.,9 Valley Edge Circle,12/4/2023,1/2/2024
